Type,Air_temperature_K_,Process_temperature_K_,Rotational_speed_rpm_,Torque_Nm_,Tool_wear_min_,temperature_difference,Mechanical_Power_W_,Actual,Predicted
0.33625865,-0.26898876,0.4458703,3.130705,0.5782802,-1.6155739,-0.83469886,0.14033909,0,1
0.16027187,-0.46163166,-1.5274793,-1.2646013,-0.51157695,-1.6676751,0.71703684,-1.7169582,0,0
0.2556202,-1.2910328,0.40855426,-1.5574796,-0.8228921,3.1388493,-1.0342648,-1.0113927,0,0
1.0421313,-0.4095569,-0.7860988,-1.304763,0.07246797,-2.8154495,-0.49708903,-0.9979495,0,0
-0.10464407,-0.49462473,0.16527054,2.8414674,0.08999855,-2.3885136,-2.2931068,-0.6711652,0,0
0.36668253,-0.36986828,-0.27487892,-1.8089238,-0.35708085,-0.12682946,-0.9229284,-1.2504146,0,0
0.19548011,-0.37017936,0.28180593,-1.0664247,0.09358392,-1.4031811,0.2512718,-1.8482331,0,0
-2.101801,-0.03472381,-1.0466254,-1.5665836,0.080742195,-2.1366112,-0.608299,-2.1061597,0,0
0.08197325,-0.13092138,-1.2298794,-1.9660485,-0.6966249,-3.10904,-3.1422133,-1.6540414,0,0
0.16019836,0.05195701,-1.1287286,-2.128227,0.3849453,-3.6297696,-0.8434473,0.20523705,0,0
0.16202909,0.03433497,-1.5908407,-1.4521565,-0.2797095,-2.74267,-1.6384766,-2.6560135,0,0
0.20191786,-0.43795323,-0.39718568,2.320058,-0.38593903,-3.7553058,-2.9767528,-2.5860598,0,0
-2.0695355,-0.3272046,-0.25373557,-1.3245789,-0.37672824,-2.223638,-0.7403554,-1.0292082,0,0
0.11742439,-0.8240133,-2.0248308,-0.15587254,-0.36828715,-2.6532872,-0.3219291,-3.0290332,0,0
0.5760573,-0.46393433,-1.0432419,-1.8008717,-0.3961173,0.052444275,0.27955362,-0.73069406,0,0
0.10353756,-0.046345867,-1.2147943,-1.9268062,-0.30940267,-2.587648,-0.56052357,-2.9520903,0,0
0.1257183,-0.37370527,-1.3128366,-1.3038406,-0.8591361,-2.672715,-0.03335592,-0.94691044,0,0
0.032923248,-0.5275746,-1.0197654,4.927191,-0.3871914,-1.3793328,2.9398699,-1.6031972,1,1
0.0912533,-0.7494111,-0.6776649,-1.2360368,-0.4889539,-1.581914,-2.4958258,-0.0063383807,0,0
-1.998672,-0.04178754,-1.1845952,-0.4138466,-0.14560719,-1.7947451,-1.2066596,-3.0829678,0,0
0.18262935,-0.067415684,-0.2610696,-2.5009136,-0.45180133,-2.1997607,-0.21193956,-1.5291249,0,0
0.12969153,-0.01924638,-0.27684364,0.69250745,1.5775851,-1.304198,-2.941587,7.0227394,1,1
0.51382464,-0.76156783,-1.6719083,1.3810875,-0.75119543,-2.1295552,-2.5655925,-3.4251585,0,0
-1.3020627,-0.45980456,-0.3960822,-3.0812747,-0.62308824,-1.4355278,0.30060586,-1.3528733,0,0
0.08120473,0.010512168,-0.39508614,-1.9026062,-0.41289565,-3.323989,-2.0598447,-0.89421356,0,0
-1.7713771,-0.35701656,0.7068948,-1.3399159,-0.6236282,-1.6971053,-0.3580205,-2.4926147,0,0
0.045576207,-1.0281992,-2.625957,1.8897194,-0.19583873,-2.6520827,-0.9256609,-3.1602898,0,0
0.041689236,0.0760507,0.07128255,-1.2992383,-0.38398665,-3.1492567,-3.576664,-2.0486844,0,0
0.20811883,0.35373017,-1.0148592,-3.0379736,-0.4172452,-3.1058576,-0.70409346,-0.95035195,0,0
-1.703452,-0.10507941,-1.5322788,-1.281385,-0.76859266,-0.74471587,-0.5319315,-1.3721404,0,0
0.3165601,-0.45406738,-0.93289226,-2.3441656,-0.6563453,-2.5407019,-1.5188096,-0.10352296,0,0
0.2123464,0.04105088,-1.526581,0.4041584,0.15989308,-1.869977,-0.43240944,-1.3247827,0,0
0.03052855,-0.80489755,-0.7390265,-1.3258933,-0.58585745,-3.137643,-2.242437,-1.1646205,0,0
0.21579391,-0.34670755,-0.1545909,-1.7420292,-0.6651724,-0.08664177,-0.97532326,-0.938059,0,0
-1.6272035,-0.63719296,-0.45242387,-1.8258611,-0.099282764,-2.1398895,-3.1600351,-2.830776,0,0
-0.82999605,0.4228086,-0.74244946,0.10793604,0.34191865,0.89315856,-1.4433256,-0.94566536,0,0
0.10663659,-0.15794821,0.16672978,-3.8547387,-0.9633024,-2.213055,-0.16750206,-1.6911583,0,0
0.19452262,0.55552536,-0.78744894,-1.6738096,-0.10420579,-2.8823884,-0.33888224,0.38201407,0,0
0.058583338,-0.13051961,-0.4524429,0.90627265,0.46919838,-1.699893,-0.31928283,-1.1082318,0,0
-1.6443982,0.20237441,-0.66940564,-1.6299518,-0.96574134,-2.3067696,-0.09625003,-0.9238276,0,0
0.12866572,0.7802892,0.33483684,5.6830616,0.26032296,-1.908606,2.741523,-0.57986337,1,1
-3.0895195,-0.54858845,0.33577526,1.7142038,1.2671002,-3.172835,-1.7776029,-0.029098814,0,0
-1.766427,0.033317264,-0.70395845,-2.0067225,-0.82929987,-2.8069143,-1.3830543,-0.12414861,0,0
-1.866363,-0.5164142,-0.14346772,1.4832659,1.1281416,-1.2817754,-0.54128456,8.39628,1,1
-0.033422973,-0.8325535,-1.365722,-1.9922041,-1.0128113,-3.3217676,-0.35991305,-1.6870333,0,0
0.08848043,-0.6710761,-1.3401022,-2.385622,-0.29532358,-3.0262225,-1.0996559,-1.048337,0,0
0.24206054,-1.0747434,-1.6046956,0.5551924,-0.40552634,-3.3838253,-0.7664347,-2.109681,0,0
-1.8092806,-0.6778307,-0.96718806,-1.6313189,-0.45535094,-2.6404614,-3.4308329,-1.703901,0,0
0.100175336,-0.039878838,-0.37718064,-1.8789767,-0.48745927,-3.6285818,-0.5548016,-1.4969488,0,0
-1.8548999,-1.2085807,-1.6349431,-0.24994004,-0.31148288,-3.561747,-1.2817285,-1.8454913,0,0
-2.1577115,-0.9336251,-0.7945524,-0.6378874,-0.14513056,-1.6999217,-0.9774939,-2.530358,0,0
0.3134106,-0.76408947,-1.161364,2.3257458,0.40923065,-0.67930055,-1.6907109,-0.054954596,0,0
-2.2677991,-0.9820333,-1.4470288,0.2501565,-0.40663207,-2.1574633,-1.5507998,-1.7003369,0,0
0.08587245,-0.20878509,-0.77478236,-1.6935463,-0.6377467,-2.5568993,-1.587786,-1.5400677,0,0
-1.3485968,-0.184032,-0.38886324,-2.134814,-0.8521539,-3.2841117,-2.1481726,-1.4902741,0,0
0.10306816,-0.4340805,-0.14534798,-1.4690928,-0.6404811,-2.737197,-4.0499763,-0.90423936,0,0
0.26139984,0.6853503,0.51574033,-2.3050513,-0.15913737,-2.8117185,-1.4362974,-0.025628071,0,0
0.1076517,-0.20838429,-1.2567215,-1.0915762,-0.3852429,-3.1159184,-2.1360097,-2.6158805,0,0
-1.2586844,-0.6738526,0.17930919,-2.2005882,-0.5472995,-2.018221,-0.47489193,-1.7866435,0,0
0.07778624,-0.8272144,-0.73059314,-2.192482,-0.48707816,-3.0755918,-1.4294704,-1.0097702,0,0
0.06800968,-0.079527095,0.19741398,0.9677881,-0.5044431,-4.044248,-1.7295169,-1.998841,0,0
-1.1643293,0.28790718,-0.88858825,-1.7478654,-0.55491114,-3.0389824,-1.2680542,-0.4983,0,0
0.51739293,0.064902924,-0.28421435,-1.3012842,-0.38707218,-1.0706376,-1.70237,-0.583405,0,0
0.1345999,-0.36512774,-1.4819772,-1.4158715,-0.30829722,-2.3399053,-0.40672052,-3.7291365,0,0
0.4400622,0.106582865,-0.46175537,2.036044,1.3319753,6.0364943,-0.6964909,-1.1416208,1,1
-1.6063266,0.8103766,-0.66646504,5.0049834,0.28169975,-0.44162604,3.3387604,-1.3445114,1,1
0.08672737,-0.8277921,-1.3056309,-1.6249558,-0.41524702,-3.0689435,-0.7291324,-0.57124054,0,0
0.04013258,-0.4098197,0.07007566,-2.3061295,-0.15459958,-2.4189105,-1.384748,-1.6571801,0,0
-2.012531,-0.2907681,-0.62403893,-1.2466887,-0.3460414,-2.503496,-0.75577664,-1.1766242,0,0
-1.8448797,-0.48345727,-1.0408556,-1.5687256,-0.33044833,-1.7996438,-3.0367322,-2.735189,0,0
0.20896363,0.15832475,0.33506683,0.049471818,0.111535415,-2.414031,-1.5852703,-1.7078959,0,0
0.15744583,-0.21533756,-0.62560993,-1.6616907,-0.4762119,-0.9354259,-1.3719426,-1.0980138,0,0
-0.016124051,-0.82957923,-1.3517934,-1.9596723,-1.0249697,-3.0861402,-1.8617437,-1.561477,0,0
0.09097288,-1.1695923,-2.0986402,0.17671882,-0.58213025,-3.5993972,-2.001814,-2.4531162,0,0
-1.4297233,-0.36880523,-0.18127233,-2.177408,-0.774013,-3.162177,-0.5363405,-1.3844521,0,0
-2.0269973,-0.7234658,-1.1281129,-1.512282,-1.1215111,-3.2471848,-0.8984783,-1.6616966,0,0
0.2602135,-0.12052383,-1.0336773,-2.1492083,-0.7031119,-2.3820777,-1.4341053,-0.9901917,0,0
0.12767902,0.041718513,-0.61585164,-1.9165329,-0.44008514,-1.948402,-1.2539384,-1.305175,0,0
0.119068354,-0.046108514,-0.18652591,1.3617543,-0.30331647,-0.7331859,-4.026278,-2.472039,0,0
-1.1790224,-0.58525354,-0.01811551,-3.4983392,-1.3202224,-0.89778876,-0.20874985,-1.6610957,0,0
0.20336851,-0.32471907,0.18430844,-0.9542103,-0.47474694,4.196403,-2.7156208,-0.70244455,0,0
0.25781527,0.10773507,-0.5894475,1.0603116,0.24596526,-2.0017412,-1.9424244,-1.9214216,0,0
0.13224229,0.01741391,-0.8337465,-1.6858829,-0.98535377,-1.1375166,-1.4461008,-1.4011025,0,0
0.15534478,-0.07283266,0.07099141,-1.2607616,-0.6483455,-1.7431664,-2.1828287,-1.6104543,0,0
-2.9079223,-0.9416892,-1.4988586,0.06745773,-0.44094583,-3.0434227,-0.56477404,-1.6896548,0,0
0.24480978,-0.04738504,-0.70004475,-1.4138694,-0.23816831,-3.9439795,-0.60057193,-2.805431,0,0
-1.7107457,-0.44444728,-0.4141885,-1.647474,-0.3408302,-2.1986277,-3.340537,-2.1023862,0,0
-1.8961488,0.7438965,-0.30130485,-1.7321597,-0.55487543,-2.3015814,-0.66885763,-1.0735383,0,0
0.27783924,-0.289392,-0.7468209,1.7950503,-0.03725129,2.3983333,-1.4216447,-2.0130453,0,0
0.21414973,-0.36883962,-0.056518257,-2.1890228,0.13261501,-1.8798442,-1.1496513,-2.9594545,0,0
-0.98220676,-0.25305656,0.2745578,-0.5120027,-0.4216426,3.5196888,-1.3357933,-1.2090194,0,0
0.044033475,-0.23518692,-0.73463285,-1.8082389,-0.07938347,-3.4324617,-2.1262083,-1.3764911,0,0
0.16189905,0.27741382,-0.57158464,-1.4850192,-1.0031209,-1.3049171,-0.6826275,-0.97593135,0,0
0.42548347,-0.4017737,-0.9394903,-2.294956,-0.8100738,-1.0048671,-0.25578463,-0.037891317,0,0
-0.028022744,-0.54717493,-0.5815047,-0.070300914,-0.34656933,-2.224857,-3.3220363,-1.1084076,0,0
-1.7582251,-0.30402732,-0.8771301,-2.5155838,-0.1487184,-0.6556564,0.49588105,-1.7576032,0,0
0.060607098,-0.16864184,-0.1909537,2.7380273,0.1704693,-1.7202806,0.9722864,-1.1944791,0,1
0.089451395,-0.03530783,-0.7640473,-1.3521488,1.0642736,-2.2652085,-2.676167,7.888513,1,1
0.2284662,-1.1753855,-1.9059217,2.2498088,-0.31822938,-3.5112762,-0.9134285,-2.4587064,0,0
-2.2248566,0.0825688,-0.7086622,-1.6347864,-0.64051205,-0.7429527,-0.13875599,-3.020298,0,0
-1.7244871,-0.49027643,0.46534675,-1.8222699,-0.6247262,-2.2401235,-0.6914976,-1.0265218,0,0
0.22291596,0.4663366,-0.79668015,-2.074669,-1.0987226,2.7362835,-0.0708261,-2.4295835,0,0
0.26411748,-0.7028615,-0.22244306,-1.9447562,-0.45666754,-2.466774,-1.7338172,-1.3106594,0,0
-2.6930892,-1.1242278,-0.76189303,1.3796495,-0.45827797,-3.3231106,-1.6575325,-2.2019444,0,0
0.1291552,-0.15811841,-0.019158658,-1.9885882,-0.8400338,-3.4284985,-2.3059998,-1.3441079,0,0
-1.5848486,-0.5551925,-0.2276221,-1.7621752,-0.92142344,-2.1762917,-0.7796767,-0.9464619,0,0
-0.8747444,-0.05202634,-1.0317425,-1.909564,-0.70366275,-2.661897,-1.2644142,-0.70980215,0,0
0.21453409,-0.81450003,-0.4167419,1.6775169,0.21664591,-2.5592792,-2.593884,-4.042247,0,0
0.16172042,0.18906689,-0.13109812,-1.6042618,-0.20335643,-2.7009826,-1.9058262,-3.3557737,0,0
-1.7104603,-0.1982026,-1.4196819,-0.019326817,0.152806,-2.0564532,-0.35603175,-2.1983075,0,0
-2.1421936,-0.48871666,-0.35494038,-2.1892717,-1.0925517,-3.8316982,-1.9232742,-2.050523,0,0
0.122754276,-0.281558,-1.53742,-1.6095029,-0.39032638,-2.4010177,-1.5483104,-2.6003504,0,0
-1.9874935,0.12944697,-1.1546845,-1.8325002,-0.42277554,-1.9697492,-0.45481864,-3.248977,0,0
0.20317763,-0.114976555,-0.35932785,-2.2017655,0.067620374,-1.8950864,-0.3041572,-2.4292383,0,0
0.46347865,-0.47866714,-1.1402823,0.28927785,-0.6305825,3.3924565,-0.6750817,-1.3452884,0,0
-2.01877,0.205115,0.32713458,-2.254286,-0.37824935,-2.4708076,-0.9866485,-0.8227987,0,0
0.22638027,-0.68155473,-0.8582483,-2.7017872,-0.31489763,-0.9667553,-0.59231806,-2.1099973,0,0
0.13201086,-0.28040165,-1.354451,-1.9665613,-0.53849614,-2.2398367,-1.159604,-2.1382546,0,0
-2.1507342,-0.15806594,-0.009560642,-1.8525685,-0.44029745,-2.550256,-1.4640639,-0.9418609,0,0
0.6162014,-0.30165967,-1.1997117,0.04255601,-0.21023294,-2.4046218,-0.274402,-2.5759153,0,0
-1.5095015,-0.5762746,-0.15780608,-1.300697,-0.98480064,-1.6598016,-3.6721478,-1.2230061,0,0
0.22969468,-0.9881317,-0.7204326,-2.3502076,-0.68266267,0.2861979,-1.0274054,-0.4231074,1,0
0.17113836,0.120356515,-0.08216335,-1.3576673,-0.32513455,-1.7151718,0.02115921,-2.5125406,0,0
